OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
1,ALLE,24001001100,1423,206,2.0,1.0,7,1,(+/-) 2.2,,,815532.8173719924,5798.640510648616
2,ALLE,24001000200,4094,563,162.0,28.8,6,0,(+/-) 30.4,,,127595267.24702415,78063.27636453805
3,ALLE,24001000100,3153,529,29.0,5.5,3,0,(+/-) 8.7,,,494615343.2049521,138840.44453680457
4,ALLE,24001001502,2012,357,97.0,27.2,9,0,(+/-) 21.9,,,23792233.762769613,25735.37615280785
5,ALLE,24001001200,2950,398,63.0,15.8,6,0,(+/-) 13.5,,,7167778.218882518,17356.49019689111
6,ALLE,24001001600,1279,182,27.0,14.8,5,0,(+/-) 13.5,,,19377225.124224912,24442.419977121288
7,ALLE,24001002100,2773,530,96.0,18.1,9,0,(+/-) 14,,,62692679.342948005,38692.00828453551
8,ALLE,24001002000,5433,1120,0.0,0.0,12,0,(+/-) 3.7,,,70718446.3759175,53287.06406712334
9,ALLE,24001000800,1972,490,186.0,37.9,7,1,(+/-) 14.6,,,3680156.720310378,12479.088118506148
10,ALLE,24001001401,4083,837,55.0,6.6,8,0,(+/-) 12.1,,,38008871.56504369,38505.23825007264
11,ALLE,24001001700,4017,710,43.0,6.1,7,0,(+/-) 9,,,32812068.225332495,30587.741725822532
12,ALLE,24001001900,2734,644,85.0,13.2,11,0,(+/-) 11.4,,,62702688.730336495,41791.72522310007
13,ALLE,24001001000,1859,395,200.0,50.6,9,1,(+/-) 22,,,1181678.97034465,6029.248941992038
14,ALLE,24001001300,5030,346,89.0,25.7,4,0,(+/-) 19.8,,,10289936.082422303,17397.247916951917
15,ALLE,24001000700,3377,864,416.0,48.1,4,1,(+/-) 24.9,,,1845100.594107865,6226.337496385678
16,ALLE,24001002300,5560,991,255.0,25.7,11,0,(+/-) 24.4,,,32087724.31766886,29138.908345657237
17,ALLE,24001002200,3751,953,285.0,29.9,4,0,(+/-) 20.6,,,61194863.379792355,45227.388771319806
18,ALLE,24001000600,2829,633,94.0,14.9,5,1,(+/-) 15.3,,,4169565.865714591,11311.480941020549
19,ALLE,24001001800,3959,415,80.0,19.2,4,0,(+/-) 16,,,9092122.005300587,12719.872688833962
20,ALLE,24001001503,1736,299,56.0,18.7,4,0,(+/-) 16.6,,,29911617.746520497,31065.134600011923
21,ALLE,24001000500,2269,366,122.0,33.3,7,1,(+/-) 27.2,,,11613906.653352275,16162.104695987331
22,ALLE,24001001402,1469,228,10.0,4.5,3,0,(+/-) 6.7,,,2978167.4944284977,11278.466302260633
23,ANNE,24003730603,3421,910,0.0,0.0,14,0,(+/-) 4.6,,,6412351.408207377,11624.357754196792
24,ANNE,24003740204,4830,1401,261.0,18.6,9,0,(+/-) 15.8,,,3303035.1421086327,10221.640421218965
25,ANNE,24003751500,7885,2014,649.0,32.2,7,1,(+/-) 18.8,,,12783247.047155581,22165.343674546013
26,ANNE,24003706600,5221,1221,78.0,6.4,8,3,(+/-) 9.8,,,4048190.1973276017,12298.886195742703
27,ANNE,24003702402,7909,1181,118.0,10.0,9,0,(+/-) 12.8,,,12385291.701936876,23466.761257926704
28,ANNE,24003731104,5583,1545,22.0,1.4,6,0,(+/-) 1.4,,,2460157.2631867714,9508.43598708823
29,ANNE,24003731306,6268,1180,37.0,3.1,4,0,(+/-) 5.2,,,16424535.415438052,34079.39765683986
30,ANNE,24003741000,2668,622,32.0,5.1,12,0,(+/-) 5.5,,,15956427.3581422,21468.406711615935
31,ANNE,24003730513,1512,282,103.0,36.7,4,0,(+/-) 37.6,,,550435.6481732285,3456.1723709221183
32,ANNE,24003740105,4533,1321,52.0,3.9,9,1,(+/-) 4.6,,,1733165.190899502,7091.61416154863
33,ANNE,24003702703,2576,206,0.0,0.0,5,0,(+/-) 18.5,,,2865047.2160671353,10932.430211857674
34,ANNE,24003701104,3383,699,29.0,4.1,4,0,(+/-) 6.1,,,3329188.864670916,15571.27197344686
35,ANNE,24003731210,2321,425,0.0,0.0,8,0,(+/-) 9.5,,,4188121.4171513407,8726.7951676292
36,ANNE,24003751600,5007,510,0.0,0.0,10,0,(+/-) 8.4,,,20092221.29379303,22954.66524918301
37,ANNE,24003731207,3325,957,0.0,0.0,6,0,(+/-) 4.4,,,3277315.2942872224,12138.825359495379
38,ANNE,24003702205,5659,1421,109.0,7.7,8,0,(+/-) 11,,,4637517.176114028,10921.947266250714
39,ANNE,24003731004,4182,1101,81.0,7.4,6,0,(+/-) 8.7,,,1861962.7623033782,7688.6453970587345
40,ANNE,24003730511,1483,331,61.0,18.4,7,0,(+/-) 19.2,,,397750.0543324321,2899.5675319948805
41,ANNE,24003731209,5289,1163,52.0,4.5,13,0,(+/-) 7,,,7039287.352822809,13290.194276134758
42,ANNE,24003701202,4470,1145,63.0,5.5,4,0,(+/-) 5.3,,,8249380.244702345,23873.46776282777
43,ANNE,24003707001,5500,1068,128.0,12.0,5,0,(+/-) 11.8,,,27538008.588468634,60916.31797771071
44,ANNE,24003731107,3369,999,62.0,6.2,6,0,(+/-) 9.7,,,4589675.30708813,14055.950650909854
45,ANNE,24003740602,3480,1305,65.0,5.0,7,0,(+/-) 4.2,,,4241057.577365107,8742.756806964695
46,ANNE,24003730514,3007,452,64.0,14.2,4,0,(+/-) 16.5,,,521198.5957359113,3269.6165001553336
47,ANNE,24003708001,3867,875,0.0,0.0,4,0,(+/-) 5.5,,,43568569.25959256,38612.872173271084
48,ANNE,24003706402,3426,551,16.0,2.9,5,4,(+/-) 4.7,,,1113078.6925615363,5743.057141147453
49,ANNE,24003731205,4572,931,71.0,7.6,4,0,(+/-) 12.1,,,7752484.975272938,18353.972031011857
50,ANNE,24003731201,6437,1694,0.0,0.0,7,0,(+/-) 2.5,,,5285322.8760522865,20264.722292382536
51,ANNE,24003731310,4995,1119,333.0,29.8,4,0,(+/-) 19.9,,,2237255.166582,7396.150220225006
52,ANNE,24003702602,6153,1402,18.0,1.3,4,2,(+/-) 2.1,,,8145919.9947685655,33751.748262188834
53,ANNE,24003731309,5560,1119,113.0,10.1,4,0,(+/-) 11.5,,,2646903.0552874045,11098.296746052267
54,ANNE,24003750900,3018,695,117.0,16.8,10,0,(+/-) 17.7,,,2909862.3457514937,10202.044831501149
